,sdev,lookback,filter
1208,8,34,2
1209,8,36,0
1210,8,36,1
1211,8,36,2
1212,8,38,0
1213,8,38,1
1214,8,38,2
1215,8,40,0
1216,8,40,1
1217,8,40,2
1218,8,42,0
1219,8,42,1
1220,8,42,2
1221,8,44,0
1222,8,44,1
1223,8,44,2
1224,8,46,0
1225,8,46,1
1226,8,46,2
1227,8,48,0
1228,8,48,1
1229,8,48,2
1230,8,50,0
1231,8,50,1
1232,8,50,2
1233,8,52,0
1234,8,52,1
1235,8,52,2
1236,8,54,0
1237,8,54,1
1238,8,54,2
1239,8,56,0
1240,8,56,1
1241,8,56,2
1242,8,58,0
1243,8,58,1
1244,8,58,2
1245,8,60,0
1246,8,60,1
1247,8,60,2
1248,8,62,0
1249,8,62,1
1250,8,62,2
1251,8,64,0
1252,8,64,1
1253,8,64,2
1254,8,66,0
1255,8,66,1
1256,8,66,2
1257,8,68,0
1258,8,68,1
1259,8,68,2
1260,8,70,0
1261,8,70,1
1262,8,70,2
1263,8,72,0
1264,8,72,1
1265,8,72,2
1266,8,74,0
1267,8,74,1
1268,8,74,2
1269,8,76,0
1270,8,76,1
1271,8,76,2
1272,8,78,0
1273,8,78,1
1274,8,78,2
1275,8,80,0
1276,8,80,1
1277,8,80,2
1278,8,82,0
1279,8,82,1
1280,8,82,2
1281,8,84,0
1282,8,84,1
1283,8,84,2
1284,8,86,0
1285,8,86,1
1286,8,86,2
1287,8,88,0
1288,8,88,1
1289,8,88,2
1290,8,90,0
1291,8,90,1
1292,8,90,2
1293,8,92,0
1294,8,92,1
1295,8,92,2
1296,8,94,0
1297,8,94,1
1298,8,94,2
1299,8,96,0
1300,8,96,1
1301,8,96,2
1302,8,98,0
1303,8,98,1
1304,8,98,2
1305,8,100,0
1306,8,100,1
1307,8,100,2
1308,8,102,0
1309,8,102,1
1310,8,102,2
1311,8,104,0
1312,8,104,1
1313,8,104,2
1314,8,106,0
1315,8,106,1
1316,8,106,2
1317,8,108,0
1318,8,108,1
1319,8,108,2
1320,8,110,0
1321,8,110,1
1322,8,110,2
1323,8,112,0
1324,8,112,1
1325,8,112,2
1326,8,114,0
1327,8,114,1
1328,8,114,2
1329,8,116,0
1330,8,116,1
1331,8,116,2
1332,8,118,0
1333,8,118,1
1334,8,118,2
1335,8,120,0
1336,8,120,1
1337,8,120,2
1338,8,122,0
1339,8,122,1
1340,8,122,2
1341,8,124,0
1342,8,124,1
1343,8,124,2
1344,8,126,0
1345,8,126,1
1346,8,126,2
1347,8,128,0
1348,8,128,1
1349,8,128,2
1350,8,130,0
1351,8,130,1
1352,8,130,2
1353,8,132,0
1354,8,132,1
1355,8,132,2
1356,8,134,0
1357,8,134,1
1358,8,134,2
1359,8,136,0
1360,8,136,1
1361,8,136,2
1362,8,138,0
1363,8,138,1
1364,8,138,2
1365,8,140,0
1366,8,140,1
1367,8,140,2
1368,8,142,0
1369,8,142,1
1370,8,142,2
1371,8,144,0
1372,8,144,1
1373,8,144,2
1374,8,146,0
1375,8,146,1
1376,8,146,2
1377,8,148,0
1378,8,148,1
1379,8,148,2
1380,8,150,0
1381,8,150,1
1382,8,150,2
1383,8,152,0
1384,8,152,1
1385,8,152,2
1386,8,154,0
1387,8,154,1
1388,8,154,2
1389,8,156,0
1390,8,156,1
1391,8,156,2
1392,8,158,0
1393,8,158,1
1394,8,158,2
1395,8,160,0
1396,8,160,1
1397,8,160,2
1398,8,162,0
1399,8,162,1
1400,8,162,2
1401,8,164,0
1402,8,164,1
1403,8,164,2
1404,8,166,0
1405,8,166,1
1406,8,166,2
1407,8,168,0
1408,8,168,1
1409,8,168,2
1410,8,170,0
1411,8,170,1
1412,8,170,2
1413,8,172,0
1414,8,172,1
1415,8,172,2
1416,8,174,0
1417,8,174,1
1418,8,174,2
1419,8,176,0
1420,8,176,1
1421,8,176,2
1422,8,178,0
1423,8,178,1
1424,8,178,2
1425,8,180,0
1426,8,180,1
1427,8,180,2
1428,8,182,0
1429,8,182,1
1430,8,182,2
1431,8,184,0
1432,8,184,1
1433,8,184,2
1434,8,186,0
1435,8,186,1
1436,8,186,2
1437,8,188,0
1438,8,188,1
1439,8,188,2
